#F=N,X,Y,Z
IMG_0726_RGB.tif,-4.0168374899165,52.5100315098613,124.83999999854
IMG_0727_RGB.tif,-4.01650861927865,52.5098946224667,124.56899999854
IMG_0728_RGB.tif,-4.01616077959126,52.5098469740999,125.13499999854
IMG_0729_RGB.tif,-4.01577518481855,52.5098399282349,126.27899999854
IMG_0821_RGB.tif,-4.0175245653761,52.5101279763644,125.61799999854
IMG_0822_RGB.tif,-4.01739794864089,52.5099150093567,125.44399999854
IMG_0823_RGB.tif,-4.01714262332599,52.5097595897541,124.43399999854
IMG_0824_RGB.tif,-4.01676133748228,52.5096681456426,123.94399999854
IMG_0825_RGB.tif,-4.01643664258518,52.5096383294156,124.30799999854
IMG_0826_RGB.tif,-4.01605188276716,52.5096024701056,124.74699999854
IMG_0827_RGB.tif,-4.01570841889266,52.5095438401962,125.03499999854
IMG_0828_RGB.tif,-4.01536768862765,52.5094598568136,125.94799999854
IMG_0829_RGB.tif,-4.01502189852778,52.5093940085336,126.98199999854
IMG_0908_RGB.tif,-4.01509951100658,52.5095235186234,129.45399999854
IMG_0909_RGB.tif,-4.01538813109796,52.509613553711,128.82599999854
IMG_0910_RGB.tif,-4.01572344350759,52.5097097822571,128.88999999854
IMG_0911_RGB.tif,-4.01600301322136,52.5097841359211,128.18999999854
IMG_0912_RGB.tif,-4.01633221949506,52.5098662132821,125.88799999854
IMG_0913_RGB.tif,-4.01663077872441,52.5099454295814,123.99699999854
IMG_0914_RGB.tif,-4.01694471113723,52.5100318848048,122.83299999854
IMG_0915_RGB.tif,-4.01726395230501,52.5101166196393,123.20199999854
IMG_0916_RGB.tif,-4.01756875170285,52.51017975344,124.37699999854
IMG_0917_RGB.tif,-4.01790057519022,52.5102409021535,124.35399999854
IMG_0918_RGB.tif,-4.01821594715323,52.5102947647842,124.64999999854
IMG_0919_RGB.tif,-4.0185554853776,52.5103541902776,126.56699999854
IMG_0920_RGB.tif,-4.01885577772557,52.5104149775229,128.01099999854
IMG_0921_RGB.tif,-4.01920273543404,52.5104905731915,127.98499999854
IMG_0922_RGB.tif,-4.01950588592346,52.5105599839827,128.69099999854
IMG_0923_RGB.tif,-4.01977352661587,52.5106212763308,128.54499999854
IMG_0924_RGB.tif,-4.02010000615984,52.5106950643783,127.49799999854
IMG_0938_RGB.tif,-4.0208719522731,52.5101758430958,122.36199999854
IMG_0939_RGB.tif,-4.02052541386733,52.5102573740503,123.69899999854
IMG_0940_RGB.tif,-4.02022918112686,52.5102974275773,123.98699999854
IMG_0941_RGB.tif,-4.01985882517682,52.5102981715956,124.08299999854
IMG_0942_RGB.tif,-4.01951246055686,52.5102532593415,124.74199999854
IMG_0943_RGB.tif,-4.01919619445656,52.5101894893377,125.67999999854
IMG_0944_RGB.tif,-4.018857664212,52.51011562894,126.71299999854
